Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
port_id,port1_registration,,text,PORT ID,,,,,,,,,,,,,
first_name,port1_registration,,text,First Name ,,,,,,,,,,,,,
second_name,port1_registration,,text,Second Name ,,,,,,,,,,,,,
email,port1_registration,,text,E-mail address,,,email,,,y,,,,,,,
sc_1,port1_registration,,yesno,I confirm that I have read and understood the information sheet for the above study. I have had the opportunity to consider the information and ask questions which have been answered to my satisfaction.,,,,,,,,,LH,,,,
sc_2,port1_registration,,yesno,I understand that at this stage I am only consenting to be screened to see if I am eligible for the study. ,,,,,,,,,LH,,,,
sc_3,port1_registration,,yesno,"I understand that my participation is voluntary and that I am free to withdraw from the study at any time, without having to give a reason and without my legal rights being affected.",,,,,,,,,LH,,,,
sc_4,port1_registration,,yesno,"I understand that if I decide to withdraw, any data already provided may not be able to be withdrawn. I understand that my confidentiality and anonymity will be maintained and it will not be possible to identify me in any research outputs.",,,,,,,,,LH,,,,
sc_5,port1_registration,,yesno,I consent to having personal information including my contact details passed from the GLAD team to the PORT team.,,,,,,,,,LH,,,,
sc_6,port1_registration,,yesno,I agree to be contacted by phone by a research assistant within the PORT team to learn more about the study. ,,,,,,,,,LH,,,,
sc_7,port1_registration,,yesno,I agree to provide eligibility screening data to the GLAD Study team and the PORT team.,,,,,,,,,LH,,,,
sc_8,port1_registration,,yesno,I agree that the research team may use my data for future research.,,,,,,,,,LH,,,,
sc_9,port1_registration,,yesno,I understand that my data may be shared in an anonymised form.,,,,,,,,,LH,,,,
sc_fullname,port1_registration,,text,"Participant's Statement 

I (please state your full name in the text box below) agree that the research project named above has been explained to me to my satisfaction and I agree to be screened for the study. I have read both the information sheet and the notes above about the project, and I understand what the research study involves. ",,,,,,,,,LH,,,,
sc_date,port1_registration,,text,Date of screening consent:,,,date_dmy,,,,,,RH,,,,
screening_consent,port1_registration,,yesno,Fully consented to pre-screening consent (PORT 1),,,,,,,,,,,,,
