Analysis type,Model,Term,Std. beta coefficient (Std. error),95% CIs,t,p-value (adjusted)
Primary,Expectancy ratings,Intercept,8.08 (0.38),"7.33, 8.83",21.31,<0.001
Primary,Expectancy ratings,Treatment sessions completed,-1.54 (0.38),"-2.3, -0.78",-4.02,<0.001
Primary,Expectancy ratings,Session 1 GAD-7 total,2.53 (0.38),"1.76, 3.29",6.56,<0.001
Primary,Expectancy ratings,Acquisition CS- mean,-0.24 (0.38),"-1, 0.52",-0.63,0.53 (1)
Primary,Expectancy ratings,Intercept,8.08 (0.38),"7.33, 8.83",21.27,<0.001
Primary,Expectancy ratings,Treatment sessions completed,-1.51 (0.39),"-2.28, -0.75",-3.91,<0.001
Primary,Expectancy ratings,Session 1 GAD-7 total,2.5 (0.39),"1.73, 3.26",6.47,<0.001
Primary,Expectancy ratings,Extinction CS+ mean,0.02 (0.38),"-0.74, 0.78",0.06,0.95 (1)
Secondary,Age and sex adjustment,Intercept,8.18 (0.4),"7.39, 8.96",20.63,<0.001
Secondary,Age and sex adjustment,Treatment sessions completed,-1.6 (0.38),"-2.36, -0.83",-4.16,<0.001
Secondary,Age and sex adjustment,Session 1 GAD-7 total,2.44 (0.39),"1.67, 3.21",6.31,<0.001
Secondary,Age and sex adjustment,Sex assigned at birth,-0.97 (1.32),"-3.59, 1.65",-0.73,0.465
Secondary,Age and sex adjustment,Age (years),-0.58 (0.39),"-1.36, 0.19",-1.5,0.138
Secondary,Age and sex adjustment,Acquisition CS- mean,-0.2 (0.38),"-0.95, 0.56",-0.52,0.602 (1)
Secondary,Age and sex adjustment,Intercept,8.18 (0.4),"7.39, 8.97",20.6,<0.001
Secondary,Age and sex adjustment,Treatment sessions completed,-1.57 (0.39),"-2.33, -0.8",-4.06,<0.001
Secondary,Age and sex adjustment,Session 1 GAD-7 total,2.41 (0.39),"1.64, 3.18",6.22,<0.001
Secondary,Age and sex adjustment,Sex assigned at birth,-0.98 (1.32),"-3.6, 1.65",-0.74,0.462
Secondary,Age and sex adjustment,Age (years),-0.6 (0.39),"-1.37, 0.18",-1.53,0.128
Secondary,Age and sex adjustment,Extinction CS+ mean,0.05 (0.38),"-0.71, 0.81",0.13,0.896 (1)
Secondary,FSS follow up (DV),Intercept,106.29 (1.84),"102.64, 109.94",57.8,<0.001
Secondary,FSS follow up (DV),Treatment sessions completed,-0.1 (1.86),"-3.8, 3.59",-0.06,0.955
Secondary,FSS follow up (DV),FSS baseline total,21.24 (2.01),"17.25, 25.24",10.56,<0.001
Secondary,FSS follow up (DV),Acquisition CS- mean,0.81 (1.88),"-2.91, 4.54",0.43,0.666 (1)
Secondary,FSS follow up (DV),Intercept,106.3 (1.84),"102.65, 109.95",57.78,<0.001
Secondary,FSS follow up (DV),Treatment sessions completed,-0.1 (1.87),"-3.81, 3.62",-0.05,0.959
Secondary,FSS follow up (DV),FSS baseline total,21.29 (2.01),"17.3, 25.27",10.6,<0.001
Secondary,FSS follow up (DV),Extinction CS+ mean,0.55 (1.86),"-3.14, 4.24",0.3,0.768 (1)
Secondary,GAD-7 follow up (DV),Intercept,7.54 (0.41),"6.74, 8.35",18.52,<0.001
Secondary,GAD-7 follow up (DV),Treatment sessions completed,-0.92 (0.41),"-1.73, -0.1",-2.23,0.028
Secondary,GAD-7 follow up (DV),Session 1 GAD-7 total,2.53 (0.41),"1.72, 3.35",6.16,<0.001
